sei,mei,sei_kana,mei_kana,tel1,tel2,tel3,password,card_no
万,一,マン,イチ,080,4483,5267,234934iu,2800054928194
劉,珂,リュウ,カ,080,5568,2455,234934iu,2800054928187
佐藤,絵理子,サトウ,エリコ,080,1586,2541,234934iu,2800056210068
張,凱,チョウ,カイ,080,1144,2568,234934iu,2800056210105
王,雷,オウ,ライ,080,4458,2684,234934iu,2800056210099
孫,蓮,ソン,レン,080,4587,1586,234934iu,2800056210129
王,法飛,オウ,ホウヒ,080,2546,1255,234934iu,2800056210112
ba,tnyam,バッ,トニヤム,080,5668,4485,234934iu,2800056210136
于,洋,ウ,ヨウ,080,4598,2541,234934iu,2800055310400
王,法飛,オウ,ホウヒ,080,2546,1255,234934iu,2800056210112
