sei,mei,sei_kana,mei_kana,tel1,tel2,tel3,password,card_no
山田,春子,ヤマダ,ハルコ,080,4082,1989,234934iu,2800054929795
李,瀛,リ,エイ,090,1743,2295,234934iu,2800055298128
田川,幸子,タガワ,サチコ,090,4088,1928,234934iu,2800055298012
雷,海,ライ,カイ,080,2637,6250,234934iu,2800055404482
宋,波,ソウ,ハ,080,2233,4040,234934iu,2800055303389
黄,山,コウ,ヤマ,080,8582,8637,234934iu,2800055404475
王,沙,オ,サ,080,8348,1122,234934iu,2800055303358
夏,沙,ナ,サ,080,8348,1112,234934iu,2800055404512
黄,海,コウ,カイ,080,8788,6375,234934iu,2800056208874
劉,争,リュウ,ソウ,080,8789,6388,234934iu,2800055298135
