sei,mei,sei_kana,mei_kana,tel1,tel2,tel3,password,card_no
林,燕,リン,エン,045,2525,1524,234934iu,2800053968313
小川,将太,オガワ,ショウタ,045,2526,1525,234934iu,2800054686186
楊,栄,ヨウ,エイ,045,2527,1526,234934iu,2800053968139
孫,正義,ソン,セイギ,045,2528,1527,234934iu,2800054686193
石川,翔太,イシガワ,ショウタ,045,2529,1528,234934iu,2800053968344
魏,翔,ギ,ショウ,080,3610,1276,12529abd,2800035999489
葉,桂英,ヨウ,ケイエイ,080,3611,1277,12529abd,2800053986379
高野,洋二郎,タカノ,ヨジロウ,080,3612,1278,12529abd,2800046382102
陳,玉,チン,ギヨウ,080,3618,1284,12529abd,2800053974444
斉藤,麻里,サイトウ,マリ,080,3619,1285,12529abd,2800042848626
