sei,mei,sei_kana,mei_kana,tel1,tel2,tel3,password,card_no
李,四,リ,ヨ,080,1123,1270,12529abd,2800053352372
黄,三,オウ,サン,080,1123,1271,12529abd,2800053352365
林,徳,リン,トク,080,1123,1272,12529abd,2800054577170
林,峰,リン,ホウ,080,1123,1273,12529abd,2800053352464
林,心,リン,シン,080,1123,1274,12529abd,2800053352440
余,静,ヨ,セイ,080,1123,1275,12529abd,2800053352457
林,海,リン,カイ,080,1123,1276,12529abd,2800053352471
呉,冬冬,ゴ,トウトウ,080,1123,1277,12529abd,2800054577194
張,会,チョウ,カイ,080,1123,1278,12529abd,2800053352488
林,群,リン,グン,080,1123,1279,12529abd,2800054918843
