sei,mei,sei_kana,mei_kana,tel1,tel2,tel3,password,card_no
張,栄海,チョウ,エイカイ,080,1123,1250,234934iu,2800054576289
李,連,リ,レン,080,1123,1251,234934iu,2800054576388
陳,橋,チン,バシ,080,1123,1252,234934iu,2800054576401
王,林,オン,リン,080,1123,1253,234934iu,2800054576418
張,三,チョウ,サン,080,1123,1254,234934iu,2800054576425
林,礼,リン,レイ,080,1123,1255,234934iu,2800054576449
薛,木,セツ,キ,080,1123,1256,234934iu,2800054576432
黄,華,オウ,カ,080,1123,1257,234934iu,2800054576319
叶,幸,ヨ,コウ,080,1123,1258,234934iu,2800053713401
王,庭,オイ,ニ,080,1123,1259,234934iu,2800053713432
